id,name
13221,"AMBALA"
13223,"BHIWANI"
13259,"CHARKHI DADRI"
13265,"DABWALI"
13225,"FARIDABAD"
13256,"FATEHABAD"
13226,"GRP AMBALA CANTT"
13227,"GURUGRAM"
13261,"HANSI"
13264,"Haryana State Enforcement Bureau (HSEnB)"
13241,"HARYANA STATE NARCOTICS CONTROL BUREAU,MADHUBAN KARNAL"
13229,"HISAR"
13257,"JHAJJAR"
13230,"JIND"
13228,"KAITHAL"
13231,"KARNAL"
13232,"KURUKSHETRA"
13233,"MAHENDERGARH"
13258,"NUH"
13260,"PALWAL"
13235,"PANCHKULA"
13234,"PANIPAT"
13236,"REWARI"
13237,"ROHTAK"
13238,"SIRSA"
13239,"SONIPAT"
13262,"State Crime Branch"
13240,"YAMUNA NAGAR"
